Model:	LI-7810
SN:	TG10-01146
Software Version:	2.0.25
Timestamp:	2022-11-11 09:44:13
Timezone:	America/Toronto
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1668177908	126434087	231	256	2022-11-11	09:45:08	nan	nan	nan	97.0194	19.7743	96.5592	43.2194	0	0	19.7798	-16000	0	15.8292	118
DATA	1668177909	126434087	235	256	2022-11-11	09:45:09	nan	nan	nan	97.0194	19.7944	96.56	43.2198	0	0	19.8029	-16000	0	15.8285	 15
DATA	1668177910	126434087	239	256	2022-11-11	09:45:10	nan	nan	nan	97.019	19.8127	96.5596	43.2198	0	0	19.824	-16000	0	15.8269	  4
DATA	1668177911	126434087	243	256	2022-11-11	09:45:11	nan	nan	nan	97.0182	19.8328	96.5588	43.2205	0	0	19.8473	-16000	0	15.8265	 95
DATA	1668177912	126146078	247	256	2022-11-11	09:45:12	nan	nan	nan	97.0198	19.8531	96.5596	43.2205	0	0	19.8705	-16000	0	15.8253	 98
DATA	1668177913	126146078	251	256	2022-11-11	09:45:13	nan	nan	nan	97.0186	19.873	96.5592	43.2213	0	0	19.8935	-16000	0	15.8245	 46
DATA	1668177914	126146078	255	256	2022-11-11	09:45:14	nan	nan	nan	97.0182	19.8926	96.5588	43.2213	0	0	19.9161	-16000	0	15.8238	102
DATA	1668177915	126146078	259	256	2022-11-11	09:45:15	nan	nan	nan	97.0178	19.9117	96.5592	43.222	0	0	19.939	-16000	0	15.823	207
DATA	1668177916	126146078	263	256	2022-11-11	09:45:16	nan	nan	nan	97.0182	19.9314	96.5588	43.222	0	0	19.9616	-16000	0	15.8226	 49
DATA	1668177917	126146078	267	256	2022-11-11	09:45:17	nan	nan	nan	97.019	19.9506	96.5579	43.2228	0	0	19.9846	-16000	0	15.8214	 67
DATA	1668177918	126146078	271	256	2022-11-11	09:45:18	nan	nan	nan	97.0182	19.9698	96.5575	43.2228	0	0	20.0071	-16000	0	15.821	 42
DATA	1668177919	125839948	275	256	2022-11-11	09:45:19	nan	nan	nan	97.0186	19.9875	96.5579	43.2233	0	0	20.0288	-16000	0	15.8202	122
DATA	1668177920	125839948	279	256	2022-11-11	09:45:20	nan	nan	nan	97.0182	20.0064	96.5583	43.2235	0	0	20.0512	-16000	0	15.8194	 76
DATA	1668177921	125839948	283	256	2022-11-11	09:45:21	nan	nan	nan	97.0186	20.0263	96.5575	43.2241	0	0	20.0743	-16000	0	15.8183	 80
DATA	1668177922	125839948	287	256	2022-11-11	09:45:22	nan	nan	nan	97.0186	20.0452	96.5575	43.2244	0	0	20.0967	-16000	0	15.8171	 94
DATA	1668177923	125839948	291	256	2022-11-11	09:45:23	nan	nan	nan	97.0178	20.064	96.5571	43.225	0	0	20.1194	-16000	0	15.8167	242
DATA	1668177924	125839948	295	256	2022-11-11	09:45:24	nan	nan	nan	97.0186	20.0831	96.5571	43.225	0	0	20.1419	-16000	0	15.8163	 37
DATA	1668177925	125839948	299	256	2022-11-11	09:45:25	nan	nan	nan	97.0178	20.1019	96.5559	43.2258	0	0	20.1646	-16000	0	15.8151	104
DATA	1668177926	125839948	303	256	2022-11-11	09:45:26	nan	nan	nan	97.0182	20.1205	96.5559	43.2258	0	0	20.1869	-16000	0	15.8147	 96
DATA	1668177927	125554084	307	256	2022-11-11	09:45:27	nan	nan	nan	97.0178	20.1376	96.5567	43.2265	0	0	20.2084	-16000	0	15.8132	 82
DATA	1668177928	125554084	311	256	2022-11-11	09:45:28	nan	nan	nan	97.0178	20.1561	96.5559	43.2265	0	0	20.2309	-16000	0	15.8128	 81
DATA	1668177929	125554084	315	256	2022-11-11	09:45:29	nan	nan	nan	97.0174	20.1747	96.5567	43.2272	0	0	20.2535	-16000	0	15.8116	 84
DATA	1668177930	125554084	319	256	2022-11-11	09:45:30	nan	nan	nan	97.0174	20.1932	96.5559	43.2272	0	0	20.2759	-16000	0	15.8112	 73
DATA	1668177931	125554084	323	256	2022-11-11	09:45:31	nan	nan	nan	97.0174	20.2125	96.5543	43.228	0	0	20.2982	-16000	0	15.8104	  8
DATA	1668177932	125554084	327	256	2022-11-11	09:45:32	nan	nan	nan	97.0182	20.2307	96.5547	43.228	0	0	20.3206	-16000	0	15.8085	 17
